rider_id,vehicle_type,zone,join_date,rating
20090,มอเตอร์ไซค์,บางนา,2024-05-13,4.16
20091,มอเตอร์ไซค์,สวนหลวง,2023-04-08,4.42
20092,มอเตอร์ไซค์,ดินแดง,2022-07-08,4.38
20093,มอเตอร์ไซค์,วัฒนา,2023-06-17,3.92
20094,มอเตอร์ไซค์,ดินแดง,2023-03-01,4.68
20095,มอเตอร์ไซค์,บางกะปิ,2022-12-10,3.71
20096,มอเตอร์ไซค์,บางกะปิ,2022-12-03,4.24
20097,มอเตอร์ไซค์,ลาดพร้าว,2024-01-06,4.94
20098,มอเตอร์ไซค์,ลาดพร้าว,2024-01-06,4.33
20099,มอเตอร์ไซค์,ห้วยขวาง,2022-07-28,4.29
20100,มอเตอร์ไซค์,สาทร,2023-05-22,3.57
20101,มอเตอร์ไซค์,พญาไท,2023-01-28,4.74
20102,มอเตอร์ไซค์,สวนหลวง,2022-07-09,4.13
20103,มอเตอร์ไซค์,สาทร,2024-01-06,4.93
20104,มอเตอร์ไซค์,บางนา,2022-12-13,5.0
20105,มอเตอร์ไซค์,บางกะปิ,2024-06-27,3.93
20106,รถยนต์,คลองเตย,2022-07-06,4.44
20107,มอเตอร์ไซค์,ลาดพร้าว,2024-01-26,4.11
20108,มอเตอร์ไซค์,จตุจักร,2023-05-01,4.97
20109,มอเตอร์ไซค์,ลาดพร้าว,2023-06-28,4.63
20110,รถยนต์,จตุจักร,2023-01-25,4.58
20111,มอเตอร์ไซค์,ลาดพร้าว,2022-08-23,4.81
20112,มอเตอร์ไซค์,ห้วยขวาง,2024-07-27,4.46
20113,มอเตอร์ไซค์,บางกะปิ,2023-05-29,4.08
20114,มอเตอร์ไซค์,บางนา,2023-03-30,4.4
20115,มอเตอร์ไซค์,คลองเตย,2024-07-09,4.49
20116,มอเตอร์ไซค์,ห้วยขวาง,2022-10-06,4.33
20117,มอเตอร์ไซค์,บางกะปิ,2023-11-13,4.08
20118,มอเตอร์ไซค์,ห้วยขวาง,2022-07-05,4.19
20119,มอเตอร์ไซค์,สวนหลวง,2022-12-09,3.92
20120,มอเตอร์ไซค์,สวนหลวง,2024-01-31,3.46
20121,มอเตอร์ไซค์,ลาดพร้าว,2023-01-02,3.84
20122,มอเตอร์ไซค์,สาทร,2022-11-14,4.54
20123,มอเตอร์ไซค์,คลองเตย,2024-02-20,4.72
20124,มอเตอร์ไซค์,พญาไท,2022-12-29,4.53
20125,มอเตอร์ไซค์,พญาไท,2022-06-12,4.14
20126,มอเตอร์ไซค์,ห้วยขวาง,2023-01-03,4.08
20127,จักรยาน,ห้วยขวาง,2024-05-16,3.4
20128,มอเตอร์ไซค์,ดินแดง,2024-03-07,4.66
20129,มอเตอร์ไซค์,คลองเตย,2023-05-23,4.51
20130,มอเตอร์ไซค์,ห้วยขวาง,2024-02-25,4.07
20131,มอเตอร์ไซค์,บางนา,2024-01-14,4.58
20132,มอเตอร์ไซค์,จตุจักร,2024-01-12,4.94
20133,มอเตอร์ไซค์,บางนา,2023-12-12,4.14
20134,มอเตอร์ไซค์,ห้วยขวาง,2022-07-25,4.61
20135,มอเตอร์ไซค์,บางนา,2023-11-09,4.29
20136,มอเตอร์ไซค์,บางนา,2023-09-05,4.66
20137,มอเตอร์ไซค์,สาทร,2024-03-23,3.91
20138,มอเตอร์ไซค์,จตุจักร,2024-01-18,3.77
20139,มอเตอร์ไซค์,สาทร,2023-03-08,4.44
20140,มอเตอร์ไซค์,บางกะปิ,2024-05-09,4.51
20141,มอเตอร์ไซค์,สวนหลวง,2024-01-16,4.82
20142,มอเตอร์ไซค์,ห้วยขวาง,2022-06-19,4.56
20143,มอเตอร์ไซค์,ดินแดง,2023-12-31,4.66
20144,มอเตอร์ไซค์,จตุจักร,2024-03-16,3.98
20145,รถยนต์,พญาไท,2023-06-03,4.61
20146,รถยนต์,จตุจักร,2022-06-09,4.86
20147,มอเตอร์ไซค์,ห้วยขวาง,2022-07-13,4.99
20148,มอเตอร์ไซค์,จตุจักร,2022-05-26,4.6
20149,มอเตอร์ไซค์,ดินแดง,2022-10-16,4.37
20150,มอเตอร์ไซค์,บางรัก,2024-07-19,4.3
20151,มอเตอร์ไซค์,วัฒนา,2023-02-27,4.63
20152,จักรยาน,บางนา,2023-07-31,4.7
20153,มอเตอร์ไซค์,วัฒนา,2023-08-19,4.23
20154,รถยนต์,สาทร,2022-08-21,3.62
20155,มอเตอร์ไซค์,ห้วยขวาง,2022-06-09,4.47
20156,รถยนต์,สาทร,2023-03-22,4.38
20157,รถยนต์,จตุจักร,2023-09-26,4.88
20158,รถยนต์,ห้วยขวาง,2023-05-26,4.41
20159,มอเตอร์ไซค์,ลาดพร้าว,2023-02-19,4.96
20160,รถยนต์,พญาไท,2024-06-21,4.69
20161,มอเตอร์ไซค์,ลาดพร้าว,2024-04-28,4.72
20162,มอเตอร์ไซค์,บางกะปิ,2024-07-14,4.61
20163,มอเตอร์ไซค์,ห้วยขวาง,2024-04-23,3.78
20164,มอเตอร์ไซค์,สวนหลวง,2023-03-06,3.46
20165,มอเตอร์ไซค์,ห้วยขวาง,2023-01-04,3.56
20166,มอเตอร์ไซค์,บางรัก,2023-10-27,4.33
20167,มอเตอร์ไซค์,พญาไท,2023-07-14,3.33
20168,รถยนต์,พญาไท,2022-08-08,4.89
20169,มอเตอร์ไซค์,คลองเตย,2023-12-02,3.85
20170,มอเตอร์ไซค์,จตุจักร,2024-03-27,4.48
20171,มอเตอร์ไซค์,วัฒนา,2023-11-22,4.14
20172,มอเตอร์ไซค์,สวนหลวง,2023-06-19,4.84
20173,มอเตอร์ไซค์,จตุจักร,2022-05-29,4.23
20174,มอเตอร์ไซค์,วัฒนา,2023-07-09,4.56
20175,มอเตอร์ไซค์,จตุจักร,2022-07-02,4.5
20176,มอเตอร์ไซค์,สาทร,2024-04-19,3.88
20177,มอเตอร์ไซค์,บางกะปิ,2024-03-05,4.26
20178,มอเตอร์ไซค์,วัฒนา,2023-03-29,4.5
20179,มอเตอร์ไซค์,บางรัก,2023-07-02,4.6
20180,มอเตอร์ไซค์,ดินแดง,2024-01-21,4.08
20181,มอเตอร์ไซค์,พญาไท,2023-10-30,4.25
20182,มอเตอร์ไซค์,สวนหลวง,2023-05-06,4.89
20183,มอเตอร์ไซค์,บางนา,2022-08-03,4.43
20184,มอเตอร์ไซค์,บางกะปิ,2022-12-18,4.09
20185,มอเตอร์ไซค์,ลาดพร้าว,2023-11-21,4.22
20186,รถยนต์,วัฒนา,2022-08-22,4.65
20187,มอเตอร์ไซค์,บางนา,2024-03-27,4.56
20188,รถยนต์,พญาไท,2022-10-20,4.39
20189,มอเตอร์ไซค์,จตุจักร,2023-10-28,4.85
20190,มอเตอร์ไซค์,สาทร,2022-06-30,4.54
20191,มอเตอร์ไซค์,สวนหลวง,2024-03-09,4.57
20192,มอเตอร์ไซค์,บางรัก,2024-01-11,4.52
20193,มอเตอร์ไซค์,จตุจักร,2022-09-14,4.54
20194,จักรยาน,วัฒนา,2022-11-13,4.04
20195,มอเตอร์ไซค์,จตุจักร,2022-06-12,3.26
20196,มอเตอร์ไซค์,บางกะปิ,2023-02-16,5.0
20197,มอเตอร์ไซค์,ดินแดง,2024-06-07,4.06
20198,มอเตอร์ไซค์,พญาไท,2023-05-11,4.0
20199,มอเตอร์ไซค์,ห้วยขวาง,2023-08-17,4.37
20200,รถยนต์,ห้วยขวาง,2022-08-16,4.29
20201,รถยนต์,ลาดพร้าว,2023-11-13,4.38
20202,มอเตอร์ไซค์,ห้วยขวาง,2022-10-28,3.72
20203,มอเตอร์ไซค์,บางกะปิ,2022-12-16,3.57
20204,มอเตอร์ไซค์,ลาดพร้าว,2024-02-16,4.12
20205,จักรยาน,วัฒนา,2023-07-28,4.28
20206,มอเตอร์ไซค์,ลาดพร้าว,2023-06-16,5.0
20207,มอเตอร์ไซค์,พญาไท,2023-12-21,3.99
20208,มอเตอร์ไซค์,ลาดพร้าว,2023-08-02,4.11
20209,มอเตอร์ไซค์,ลาดพร้าว,2024-07-05,4.0
20210,มอเตอร์ไซค์,ห้วยขวาง,2022-12-30,4.01
20211,มอเตอร์ไซค์,บางกะปิ,2022-12-22,4.87
20212,มอเตอร์ไซค์,บางนา,2022-09-16,4.58
20213,มอเตอร์ไซค์,ลาดพร้าว,2024-03-13,3.94
20214,มอเตอร์ไซค์,ห้วยขวาง,2023-03-24,4.08
20215,มอเตอร์ไซค์,คลองเตย,2024-02-05,5.0
20216,จักรยาน,ห้วยขวาง,2024-04-01,4.25
20217,มอเตอร์ไซค์,ลาดพร้าว,2023-09-05,4.13
20218,มอเตอร์ไซค์,บางรัก,2023-05-22,3.76
20219,มอเตอร์ไซค์,จตุจักร,2022-08-06,4.58
20220,มอเตอร์ไซค์,ลาดพร้าว,2022-11-02,4.21
20221,มอเตอร์ไซค์,ลาดพร้าว,2024-06-08,3.52
20222,มอเตอร์ไซค์,วัฒนา,2024-02-01,3.88
20223,มอเตอร์ไซค์,พญาไท,2023-11-13,4.21
20224,จักรยาน,จตุจักร,2022-09-07,4.24
20225,มอเตอร์ไซค์,ห้วยขวาง,2022-06-08,3.95
20226,จักรยาน,จตุจักร,2024-06-27,3.85
20227,มอเตอร์ไซค์,สาทร,2023-10-01,4.86
20228,จักรยาน,ห้วยขวาง,2024-04-04,4.36
20229,มอเตอร์ไซค์,ลาดพร้าว,2023-11-24,4.14
20230,มอเตอร์ไซค์,จตุจักร,2022-07-24,4.97
20231,มอเตอร์ไซค์,พญาไท,2023-10-23,4.18
20232,มอเตอร์ไซค์,วัฒนา,2024-01-04,3.78
20233,มอเตอร์ไซค์,บางรัก,2024-03-09,3.92
20234,มอเตอร์ไซค์,วัฒนา,2022-09-23,3.97
20235,มอเตอร์ไซค์,จตุจักร,2024-07-13,5.0
20236,มอเตอร์ไซค์,ลาดพร้าว,2022-12-06,4.68
20237,มอเตอร์ไซค์,บางนา,2024-05-25,3.99
20238,มอเตอร์ไซค์,บางนา,2024-04-25,4.94
20239,มอเตอร์ไซค์,สาทร,2024-03-30,3.54
20240,มอเตอร์ไซค์,คลองเตย,2022-07-12,3.9
20241,มอเตอร์ไซค์,ดินแดง,2022-08-19,4.35
20242,มอเตอร์ไซค์,จตุจักร,2024-04-01,4.78
20243,มอเตอร์ไซค์,ห้วยขวาง,2022-06-09,4.31
20244,มอเตอร์ไซค์,วัฒนา,2023-12-18,4.68
20245,จักรยาน,ดินแดง,2024-06-28,4.84
20246,มอเตอร์ไซค์,จตุจักร,2024-07-25,3.93
20247,มอเตอร์ไซค์,บางนา,2024-07-13,4.0
20248,มอเตอร์ไซค์,สาทร,2022-11-17,4.73
20249,มอเตอร์ไซค์,วัฒนา,2023-04-25,4.73
20250,มอเตอร์ไซค์,บางกะปิ,2023-05-26,4.13
20251,มอเตอร์ไซค์,สาทร,2023-05-02,4.57
20252,มอเตอร์ไซค์,คลองเตย,2022-11-09,4.13
20253,มอเตอร์ไซค์,ลาดพร้าว,2022-09-14,4.49
20254,มอเตอร์ไซค์,พญาไท,2024-07-27,4.7
20255,รถยนต์,ดินแดง,2024-01-20,4.54
20256,มอเตอร์ไซค์,ลาดพร้าว,2022-06-05,4.58
20257,มอเตอร์ไซค์,พญาไท,2024-06-24,4.43
20258,มอเตอร์ไซค์,สาทร,2023-10-26,4.66
20259,รถยนต์,ห้วยขวาง,2023-06-11,3.93
20260,มอเตอร์ไซค์,บางนา,2023-10-04,4.28
20261,มอเตอร์ไซค์,จตุจักร,2023-08-14,4.34
20262,มอเตอร์ไซค์,บางนา,2023-04-22,4.28
20263,มอเตอร์ไซค์,จตุจักร,2024-03-15,4.03
20264,จักรยาน,คลองเตย,2023-01-21,4.45
20265,มอเตอร์ไซค์,พญาไท,2024-07-17,5.0
20266,มอเตอร์ไซค์,บางนา,2023-09-11,3.51
20267,มอเตอร์ไซค์,ลาดพร้าว,2024-05-03,4.29
20268,มอเตอร์ไซค์,บางนา,2023-06-08,4.59
20269,มอเตอร์ไซค์,ดินแดง,2023-03-30,4.85
20270,มอเตอร์ไซค์,บางนา,2023-09-10,4.51
20271,มอเตอร์ไซค์,บางกะปิ,2023-11-30,4.45
20272,มอเตอร์ไซค์,บางกะปิ,2022-11-02,4.26
20273,มอเตอร์ไซค์,บางกะปิ,2023-03-02,4.6
20274,มอเตอร์ไซค์,ห้วยขวาง,2022-08-01,3.87
20275,มอเตอร์ไซค์,ลาดพร้าว,2024-07-06,3.98
20276,รถยนต์,สาทร,2023-05-15,4.26
20277,มอเตอร์ไซค์,คลองเตย,2023-07-20,4.33
20278,จักรยาน,จตุจักร,2023-04-06,4.52
20279,มอเตอร์ไซค์,จตุจักร,2024-07-14,4.61
20280,มอเตอร์ไซค์,คลองเตย,2023-01-27,3.62
20281,มอเตอร์ไซค์,บางนา,2023-10-07,4.34
20282,มอเตอร์ไซค์,สวนหลวง,2022-06-15,4.27
20283,มอเตอร์ไซค์,คลองเตย,2024-07-25,4.61
20284,จักรยาน,บางรัก,2023-04-13,4.85
20285,มอเตอร์ไซค์,สาทร,2023-01-05,4.45
20286,มอเตอร์ไซค์,สวนหลวง,2022-07-01,4.37
20287,มอเตอร์ไซค์,สาทร,2022-08-12,3.98
20288,มอเตอร์ไซค์,บางรัก,2023-10-12,4.14
20289,มอเตอร์ไซค์,พญาไท,2023-02-05,4.35
20290,มอเตอร์ไซค์,ลาดพร้าว,2023-08-03,3.73
20291,มอเตอร์ไซค์,บางนา,2022-12-21,3.8
20292,มอเตอร์ไซค์,ดินแดง,2023-07-27,4.28
20293,มอเตอร์ไซค์,บางนา,2022-11-03,4.45
20294,มอเตอร์ไซค์,วัฒนา,2024-05-22,4.9
20295,มอเตอร์ไซค์,คลองเตย,2022-09-15,3.85
20296,มอเตอร์ไซค์,บางนา,2022-12-03,3.63
20297,มอเตอร์ไซค์,วัฒนา,2023-06-13,4.34
20298,มอเตอร์ไซค์,ห้วยขวาง,2023-08-17,4.81
20299,มอเตอร์ไซค์,สวนหลวง,2023-12-02,3.95
20300,จักรยาน,จตุจักร,2023-08-19,4.81
20301,มอเตอร์ไซค์,สาทร,2024-01-30,3.84
20302,มอเตอร์ไซค์,คลองเตย,2023-12-29,4.22
20303,มอเตอร์ไซค์,พญาไท,2024-02-15,4.22
20304,มอเตอร์ไซค์,วัฒนา,2024-07-04,3.96
20305,มอเตอร์ไซค์,ลาดพร้าว,2023-05-16,3.62
20306,รถยนต์,บางกะปิ,2022-06-05,5.0
20307,มอเตอร์ไซค์,สวนหลวง,2022-11-18,3.88
20308,มอเตอร์ไซค์,วัฒนา,2022-12-22,3.81
20309,มอเตอร์ไซค์,บางนา,2023-02-28,3.95
20310,มอเตอร์ไซค์,ห้วยขวาง,2023-05-28,3.98
20311,มอเตอร์ไซค์,บางนา,2023-04-27,4.0
20312,มอเตอร์ไซค์,สาทร,2024-07-12,4.71
20313,มอเตอร์ไซค์,ห้วยขวาง,2024-05-12,3.93
20314,มอเตอร์ไซค์,บางกะปิ,2023-01-25,4.56
20315,มอเตอร์ไซค์,ลาดพร้าว,2023-12-01,4.01
20316,มอเตอร์ไซค์,บางนา,2022-06-30,4.86
20317,มอเตอร์ไซค์,ลาดพร้าว,2023-10-06,5.0
20318,มอเตอร์ไซค์,ดินแดง,2024-01-21,4.17
20319,มอเตอร์ไซค์,ลาดพร้าว,2022-07-25,4.4
20320,มอเตอร์ไซค์,บางกะปิ,2024-04-05,4.4
20321,มอเตอร์ไซค์,ลาดพร้าว,2023-03-17,4.88
20322,มอเตอร์ไซค์,ห้วยขวาง,2023-07-04,4.13
20323,มอเตอร์ไซค์,ห้วยขวาง,2022-11-12,4.84
20324,มอเตอร์ไซค์,สาทร,2024-02-16,5.0
20325,มอเตอร์ไซค์,ห้วยขวาง,2023-05-27,4.18
20326,มอเตอร์ไซค์,ลาดพร้าว,2023-07-26,4.07
20327,มอเตอร์ไซค์,จตุจักร,2023-01-16,4.75
20328,มอเตอร์ไซค์,สาทร,2023-08-06,4.17
20329,มอเตอร์ไซค์,บางรัก,2023-07-03,3.44
20330,มอเตอร์ไซค์,จตุจักร,2023-12-01,4.32
20331,มอเตอร์ไซค์,คลองเตย,2023-04-01,4.59
20332,มอเตอร์ไซค์,จตุจักร,2022-07-11,4.21
20333,มอเตอร์ไซค์,วัฒนา,2023-08-11,4.2
20334,มอเตอร์ไซค์,บางรัก,2022-12-14,4.62
20335,จักรยาน,สาทร,2022-09-27,4.79
20336,จักรยาน,จตุจักร,2023-09-08,4.8
20337,มอเตอร์ไซค์,วัฒนา,2024-02-04,4.29
20338,จักรยาน,วัฒนา,2023-09-24,4.46
20339,จักรยาน,วัฒนา,2023-09-21,4.42
20340,มอเตอร์ไซค์,ลาดพร้าว,2022-05-29,4.32
20341,มอเตอร์ไซค์,คลองเตย,2023-12-29,5.0
20342,มอเตอร์ไซค์,ห้วยขวาง,2023-03-21,4.44
20343,มอเตอร์ไซค์,ดินแดง,2023-01-11,4.68
20344,มอเตอร์ไซค์,ห้วยขวาง,2023-12-24,4.48
20345,มอเตอร์ไซค์,บางกะปิ,2022-09-06,4.43
20346,มอเตอร์ไซค์,บางกะปิ,2023-12-30,4.07
20347,มอเตอร์ไซค์,บางนา,2023-06-29,4.47
20348,มอเตอร์ไซค์,พญาไท,2022-09-03,4.38
20349,มอเตอร์ไซค์,ลาดพร้าว,2022-06-08,4.45
20350,มอเตอร์ไซค์,บางนา,2022-12-02,4.13
20351,มอเตอร์ไซค์,บางนา,2023-10-30,5.0
20352,มอเตอร์ไซค์,ลาดพร้าว,2023-02-09,3.94
20353,มอเตอร์ไซค์,คลองเตย,2023-01-17,4.77
20354,มอเตอร์ไซค์,บางนา,2023-02-01,4.51
20355,มอเตอร์ไซค์,บางนา,2022-10-31,3.67
20356,มอเตอร์ไซค์,บางกะปิ,2023-08-17,4.55
20357,จักรยาน,บางรัก,2022-11-23,4.72
20358,มอเตอร์ไซค์,ดินแดง,2023-09-22,4.25
20359,มอเตอร์ไซค์,ลาดพร้าว,2022-09-18,3.8
20360,มอเตอร์ไซค์,สาทร,2022-07-13,4.07
20361,มอเตอร์ไซค์,สวนหลวง,2023-06-27,4.53
20362,มอเตอร์ไซค์,ดินแดง,2022-08-30,4.18
20363,มอเตอร์ไซค์,สาทร,2023-11-03,4.89
20364,จักรยาน,บางนา,2022-06-28,3.99
20365,มอเตอร์ไซค์,ดินแดง,2023-01-13,4.42
20366,มอเตอร์ไซค์,บางนา,2023-08-05,4.33
20367,มอเตอร์ไซค์,ห้วยขวาง,2024-04-26,4.9
20368,มอเตอร์ไซค์,ห้วยขวาง,2023-11-23,4.79
20369,มอเตอร์ไซค์,บางกะปิ,2024-04-02,4.35
20370,มอเตอร์ไซค์,ห้วยขวาง,2022-12-19,4.52
20371,มอเตอร์ไซค์,ห้วยขวาง,2022-07-12,4.26
20372,มอเตอร์ไซค์,ห้วยขวาง,2022-09-22,4.66
20373,จักรยาน,สาทร,2024-05-11,3.74
20374,มอเตอร์ไซค์,คลองเตย,2024-01-31,4.15
20375,มอเตอร์ไซค์,ห้วยขวาง,2023-04-05,4.81
20376,จักรยาน,บางกะปิ,2024-02-02,4.51
20377,มอเตอร์ไซค์,คลองเตย,2023-08-04,4.33
20378,มอเตอร์ไซค์,บางกะปิ,2023-01-19,4.01
20379,มอเตอร์ไซค์,บางรัก,2022-11-22,4.8
20380,มอเตอร์ไซค์,ลาดพร้าว,2024-04-13,3.63
20381,มอเตอร์ไซค์,บางนา,2022-11-10,4.31
20382,มอเตอร์ไซค์,บางกะปิ,2024-02-16,4.26
20383,มอเตอร์ไซค์,ห้วยขวาง,2022-10-25,4.29
20384,มอเตอร์ไซค์,บางนา,2024-06-30,4.94
20385,มอเตอร์ไซค์,สาทร,2023-10-19,4.7
20386,มอเตอร์ไซค์,ลาดพร้าว,2022-11-21,3.81
20387,มอเตอร์ไซค์,บางกะปิ,2022-06-07,4.48
20388,มอเตอร์ไซค์,ห้วยขวาง,2023-02-04,4.29
20389,จักรยาน,วัฒนา,2023-11-29,4.59
20390,มอเตอร์ไซค์,ลาดพร้าว,2024-02-23,3.95
20391,มอเตอร์ไซค์,บางกะปิ,2024-06-09,4.22
20392,รถยนต์,สวนหลวง,2023-04-24,4.16
20393,มอเตอร์ไซค์,วัฒนา,2023-05-16,3.98
20394,มอเตอร์ไซค์,คลองเตย,2024-06-25,4.79
20395,มอเตอร์ไซค์,ลาดพร้าว,2023-05-13,4.3
20396,มอเตอร์ไซค์,สาทร,2022-07-12,4.84
20397,มอเตอร์ไซค์,ลาดพร้าว,2023-08-28,4.15
20398,มอเตอร์ไซค์,บางนา,2023-12-12,3.84
20399,รถยนต์,พญาไท,2023-11-19,4.31
20400,มอเตอร์ไซค์,สาทร,2022-09-19,4.76
20401,มอเตอร์ไซค์,คลองเตย,2022-12-09,4.02
20402,มอเตอร์ไซค์,วัฒนา,2023-08-05,4.08
20403,มอเตอร์ไซค์,ลาดพร้าว,2023-07-27,3.9
20404,มอเตอร์ไซค์,ห้วยขวาง,2023-10-06,3.29
20405,มอเตอร์ไซค์,ห้วยขวาง,2022-07-31,3.9
20406,มอเตอร์ไซค์,พญาไท,2024-06-21,5.0
20407,มอเตอร์ไซค์,บางนา,2023-09-30,4.31
20408,มอเตอร์ไซค์,บางนา,2024-03-20,3.92
20409,มอเตอร์ไซค์,จตุจักร,2024-04-29,4.5
20410,มอเตอร์ไซค์,บางรัก,2023-10-24,4.42
20411,มอเตอร์ไซค์,บางนา,2024-05-13,4.12
20412,มอเตอร์ไซค์,ลาดพร้าว,2022-07-12,4.54
20413,มอเตอร์ไซค์,บางนา,2023-04-08,4.62
20414,จักรยาน,สาทร,2022-08-06,4.36
20415,มอเตอร์ไซค์,บางกะปิ,2024-07-03,4.67
