order_id,customer_id,zone,cuisine,order_time,delivered_time,distance_km,prep_min,subtotal,discount,delivery_fee,payment_type,weather,rating
907526,57680,นิมมาน,ข้าวซอย,29/04/2025 19:58,2025-04-29 20:13:54,3.8,12.7,฿63,0,27,โอนผ่านแอป,ปกติ,5
923217,61085,ช้างคลาน,ปิ้งย่าง,16/04/2025 08:59,2025-04-16 09:10:54,1.85,11.8,฿332,0,25,cash,ปกติ,5
908592,50814,ช้างคลาน,ปิ้งย่าง,01/05/2025 09:26,2025-05-01 09:38:18,1.74,11.3,฿247,28,24,บัตรเครดิต,ปกติ,4
900039,55673,สันกำแพง,ข้าวซอย,20 Jun 2025 09:49,2025-06-20 10:04:18,4.82,8.7,฿125,0,30,บัตรเครดิต,ปกติ,5
908018,59178,นิมมาน,ตามสั่ง,13/05/2025 20:19,2025-05-13 20:37:24,6.04,13.8,฿35,0,38,บัตรเครดิต,ปกติ,5
919626,60695,ช้างคลาน,ของหวาน,27 May 2025 12:16,2025-05-27 12:42:36,6.37,11.4,฿64,0,39,เงินสด,ปกติ,4
913374,58841,แม่ริม,ตามสั่ง,21 Apr 2025 19:38,2025-04-21 19:51:54,4.7,4.8,฿103,0,28,โอนผ่านแอป,ปกติ,5
911368,56771,สันกำแพง,ญี่ปุ่น,07 Jun 2025 10:48,2025-06-07 11:01:48,2.72,12.2,฿409,0,23,โอนผ่านแอป,ปกติ,5
915604,54535,ช้างคลาน,กาแฟ,23/04/2025 17:14,2025-04-23 17:24:42,2.24,8.3,฿95,10,23,APP,ปกติ,5
919267,58529,ช้างคลาน,ตามสั่ง,29/04/2025 10:33,2025-04-29 10:47:54,3.58,12.3,฿56,9,29,เงินสด,ปกติ,5
902584,61275,นิมมาน,ข้าวซอย,22 Apr 2025 13:38,2025-04-22 13:48:30,2.91,12.3,฿124,0,25,โอนผ่านแอป,ปกติ,5
917925,52380, สันทราย,ของหวาน,21/04/2025 20:18,2025-04-21 20:33:12,4.62,9.2,฿41,9,28,โอนผ่านแอป,ปกติ,4
901411,52265,ช้างคลาน,ข้าวซอย,02 Jun 2025 13:55,2025-06-02 14:10:18,4.05,7.3,฿60,0,26,โอนผ่านแอป,ปกติ,5
922585,54255,หางดง,ตามสั่ง,29 Apr 2025 13:03,2025-04-29 13:18:48,2.71,14.6,฿141,22,27,,ปกติ,5
907219,53151,หางดง,ข้าวซอย,11/05/2025 10:24,2025-05-11 10:38:42,1.51,11.4,฿80,0,21,เงินสด,ปกติ,5
900940,52598, หางดง,ข้าวซอย,24 Jun 2025 19:33,2025-06-24 19:56:12,11.15,9.7,฿100,0,47,บัตรเครดิต,ปกติ,4
910553,56970,ช้างคลาน,กาแฟ,11/06/2025 12:42,2025-06-11 13:09:12,4.73,12.0,฿65,6,34,บัตรเครดิต,ปกติ,4
901484,57674,สันทราย ,ญี่ปุ่น,08/06/2025 12:37,2025-06-08 13:07:18,2.26,16.4,฿113,10,22,โอนผ่านแอป,ฝนตก,4
909460,53750,หางดง ,ญี่ปุ่น,2025-05-26 21:35:00,2025-05-26 21:58:18,3.39,7.8,฿469,0,24,วอลเล็ต,ฝนตก,1
921487,50581,นิมมาน,กาแฟ,26 Apr 2025 18:54,2025-04-26 19:19:30,6.17,10.0,฿56,9,36,cash,ปกติ,5
908033,57916,นิมมาน,ตามสั่ง,2025-04-29 12:46:00,2025-04-29 13:12:30,6.98,14.0,฿50,0,42,APP,ปกติ,4
918841,52571,นิมมาน,กาแฟ,2025-06-28 12:01:00,2025-06-28 12:25:06,5.97,10.1,฿35,0,35,บัตรเครดิต,ปกติ,5
903647,54441,นิมมาน,ข้าวซอย,2025-04-04 11:40:00,2025-04-04 12:03:18,3.22,13.7,฿137,25,25,เงินสด,ปกติ,5
905746,53490,แม่ริม,กาแฟ,2025-04-28 10:39:00,2025-04-28 11:02:12,14.42,8.2,฿58,0,58,เงินสด,ปกติ,4
922146,54609,สันกำแพง,ข้าวซอย,15/06/2025 20:05,2025-06-15 20:26:48,,6.2,฿78,0,51,วอลเล็ต,ปกติ,5
912336,59171,นิมมาน,ข้าวซอย,11/05/2025 18:49,2025-05-11 19:09:54,1.22,14.0,฿35,2,15,เงินสด,ปกติ,5
920351,58352,หางดง ,ญี่ปุ่น,18/05/2025 11:50,2025-05-18 12:18:42,7.51,11.9,฿266,39,34,โอนผ่านแอป,ปกติ,4
919188,54629,นิมมาน,กาแฟ,2025-05-20 10:37:00,2025-05-20 10:53:00,3.51,15.6,฿156,0,30,โอนผ่านแอป,ปกติ,5
905878,52530, แม่ริม,ตามสั่ง,26/06/2025 12:42,2025-06-26 13:07:30,5.75,11.4,฿135,14,34,โอนผ่านแอป,ปกติ,5
914482,54576,แม่ริม,ตามสั่ง,21/05/2025 20:41,2025-05-21 21:01:18,9.24,8.3,฿84,0,45,APP,ปกติ,5
923177,58899, นิมมาน,ของหวาน,07 Jun 2025 20:05,2025-06-07 20:17:42,2.03,9.6,฿189,0,25,บัตรเครดิต,ปกติ,4
917864,53750,ช้างคลาน,ปิ้งย่าง,05 Jun 2025 08:35,2025-06-05 08:51:00,3.67,10.3,฿54,12,25,เงินสด,ปกติ,5
903385,52939,สันทราย,กาแฟ,2025-05-26 10:47:00,2025-05-26 11:02:24,2.91,15.1,฿84,16,23,cash,ปกติ,5
913539,50612,หางดง,ญี่ปุ่น,19/04/2025 11:04,2025-04-19 11:27:18,6.62,7.9,฿239,0,36,โอนผ่านแอป,ปกติ,4
915081,53777, สันทราย,ตามสั่ง,20/04/2025 18:08,2025-04-20 18:34:54,6.08,11.6,฿98,0,32,โอนผ่านแอป,ปกติ,4
916276,56575,หางดง,ตามสั่ง,03 Jun 2025 13:00,2025-06-03 13:24:54,3.72,13.2,฿44,4,30,cash,ฝนตก,5
921558,56867,นิมมาน,ญี่ปุ่น,05/04/2025 18:33,2025-04-05 18:54:24,3.15,15.0,฿202,47,28,โอนผ่านแอป,ปกติ,5
905870,53182,แม่ริม,ตามสั่ง,11/05/2025 17:08,2025-05-11 17:37:24,15.03,10.2,฿35,7,61,เงินสด,ปกติ,4
902517,57336,นิมมาน,ปิ้งย่าง,23/04/2025 17:15,2025-04-23 17:35:42,0.91,15.8,฿420,0,21,โอนผ่านแอป,ฝนตก,5
914248,58979,ช้างคลาน,ปิ้งย่าง,17 May 2025 19:07,2025-05-17 19:23:12,1.73,14.9,฿367,20,20,,ปกติ,5
921856,59375,นิมมาน,ข้าวซอย,07 Jun 2025 12:07,2025-06-07 12:33:06,6.5,12.3,฿68,0,38,เงินสด,ปกติ,5
912014,54068,สันทราย ,กาแฟ,12 May 2025 09:32,2025-05-12 09:47:24,4.43,13.8,฿162,0,30,โอนผ่านแอป,ปกติ,5
922001,56914,หางดง,กาแฟ,24/06/2025 10:56,2025-06-24 11:17:42,6.37,17.4,฿35,5,39,โอนผ่านแอป,ปกติ,5
900609,59944,สันกำแพง,ของหวาน,2025-06-05 18:37:00,2025-06-05 19:08:30,6.97,7.7,฿188,0,40,บัตรเครดิต,ฝนตก,5
905985,52645,หางดง,ข้าวซอย,28 May 2025 17:55,2025-05-28 18:15:30,2.8,10.1,฿64,0,29,เงินสด,ฝนตก,5
909671,50237,แม่ริม,ของหวาน,2025-04-09 12:12:00,2025-04-09 12:53:06,12.88,6.2,฿35,0,51,เงินสด,ฝนตก,3
901158,59656,นิมมาน,ตามสั่ง,2025-05-31 18:52:00,2025-05-31 19:08:42,0.88,8.1,฿53,0,22,โอนผ่านแอป,ปกติ,5
922254,53476,นิมมาน,กาแฟ,2025-06-07 21:32:00,2025-06-07 21:47:12,7.07,5.6,฿78,0,34,บัตรเครดิต,ปกติ,5
902958,52398,สันทราย,ของหวาน,25/04/2025 13:22,2025-04-25 13:42:18,6.19,14.9,฿97,12,36,โอนผ่านแอป,ปกติ,5
906498,54608,แม่ริม,กาแฟ,24 Apr 2025 13:16,2025-04-24 13:40:36,8.17,18.1,฿39,0,40,เงินสด,ปกติ,5
916800,50770,สันกำแพง,กาแฟ,2025-05-18 11:01:00,2025-05-18 11:33:18,11.75,14.6,฿143,0,52,วอลเล็ต,ปกติ,3
900877,52111,สันทราย,กาแฟ,2025-06-02 18:19:00,2025-06-02 18:54:36,5.18,12.7,฿62,0,36,บัตรเครดิต,ฝนตก,3
915141,52040,สันทราย,กาแฟ,06 Apr 2025 12:17,2025-04-06 12:38:54,3.34,13.3,฿81,0,22,โอนผ่านแอป,ปกติ,4
910442,59476,หางดง,ของหวาน,12 May 2025 11:28,2025-05-12 11:53:06,8.19,9.6,฿163,0,40,โอนผ่านแอป,ปกติ,5
904004,60144,นิมมาน,ข้าวซอย,11/04/2025 08:58,2025-04-11 09:10:12,2.46,10.1,฿35,0,25,บัตรเครดิต,ปกติ,5
917875,55252,ช้างคลาน,ตามสั่ง,2025-06-05 20:54:00,2025-06-05 21:17:06,2.72,12.5,฿35,0,25,โอนผ่านแอป,ฝนตก,4
903229,60166,สันทราย,ของหวาน,2025-05-04 13:18:00,2025-05-04 13:33:30,1.36,15.3,฿39,3,25,เงินสด,ปกติ,5
904272,53383,ช้างคลาน,กาแฟ,22 May 2025 12:28,2025-05-22 12:51:12,3.69,10.8,฿95,0,24,โอนผ่านแอป,ปกติ,4
905959,55610,ช้างคลาน,ปิ้งย่าง,28 Jun 2025 20:58,2025-06-28 21:22:54,4.34,12.7,฿218,16,27,โอนผ่านแอป,ฝนตก,5
907365,55692,นิมมาน ,กาแฟ,2025-05-07 12:16:00,2025-05-07 12:41:48,,18.2,฿111,0,30,โอนผ่านแอป,ปกติ,5
908816,54758,สันทราย,ข้าวซอย,14/06/2025 19:18,2025-06-14 19:38:12,5.64,13.3,฿48,7,36,APP,ปกติ,5
900679,51633,ช้างคลาน ,กาแฟ,2025-05-26 09:59:00,2025-05-26 10:23:30,12.49,12.3,฿35,5,56,cash,ปกติ,4
916919,52685,สันทราย,ตามสั่ง,31 May 2025 12:48,2025-05-31 13:10:18,4.64,6.8,฿81,12,31,บัตรเครดิต,ปกติ,5
903225,52416,สันทราย,กาแฟ,08 Apr 2025 18:19,2025-04-08 18:42:24,7.41,4.4,฿36,8,31,บัตรเครดิต,ปกติ,5
907802,52966, ช้างคลาน,ข้าวซอย,16 Jun 2025 09:01,2025-06-16 09:19:48,6.1,11.4,฿45,0,38,APP,ปกติ,5
914965,52308,ช้างคลาน,ตามสั่ง,2025-04-10 08:59:00,2025-04-10 09:14:18,0.83,13.7,฿94,0,16,บัตรเครดิต,ปกติ,5
912531,52080,สันทราย,ข้าวซอย,11/05/2025 18:31,2025-05-11 18:55:24,2.61,12.2,฿81,6,23,โอนผ่านแอป,ปกติ,5
904552,53267,แม่ริม,ตามสั่ง,28/04/2025 09:32,2025-04-28 09:52:48,7.54,15.7,฿104,0,45,โอนผ่านแอป,ปกติ,5
916117,53041,หางดง,กาแฟ,2025-06-04 18:44:00,2025-06-04 19:06:42,4.23,10.5,฿120,25,32,เงินสด,ปกติ,4
922091,61881,สันทราย,ข้าวซอย,27 May 2025 17:27,2025-05-27 17:42:30,2.32,13.6,฿81,5,19,โอนผ่านแอป,ปกติ,5
921357,51627,หางดง,ข้าวซอย,2025-04-23 11:52:00,2025-04-23 12:14:54,4.96,11.8,฿64,0,30,โอนผ่านแอป,ปกติ,5
903506,52903,สันกำแพง,ข้าวซอย,06 Jun 2025 12:32,2025-06-06 13:06:54,13.27,12.4,฿104,0,58,APP,ปกติ,2
923611,53313,นิมมาน,กาแฟ,2025-04-08 19:24:00,2025-04-08 19:45:48,3.97,6.0,฿106,25,32,โอนผ่านแอป,ฝนตก,5
915721,54123,นิมมาน,ปิ้งย่าง,2025-05-04 12:01:00,2025-05-04 12:25:18,5.56,11.2,฿180,17,30,CASH,ปกติ,5
919518,52073,นิมมาน,ตามสั่ง,2025-05-18 11:06:00,2025-05-18 11:28:42,2.38,14.1,฿84,0,30,บัตรเครดิต,ปกติ,4
920840,52468,หางดง,กาแฟ,2025-04-23 21:28:00,2025-04-23 21:40:36,2.41,10.2,฿35,0,29,CASH,ปกติ,5
920540,61696,สันทราย,ปิ้งย่าง,14/06/2025 21:17,2025-06-14 21:41:54,4.32,11.7,฿581,0,34,โอนผ่านแอป,ฝนตก,5
906772,61147, สันทราย,ข้าวซอย,23 Jun 2025 12:16,2025-06-23 12:37:42,3.35,9.0,฿63,0,25,โอนผ่านแอป,ปกติ,5
913496,56085,หางดง,กาแฟ,09 Jun 2025 08:43,2025-06-09 08:57:36,2.32,11.9,฿219,0,16,บัตรเครดิต,ปกติ,5
906710,61976,สันกำแพง,ของหวาน,22/04/2025 09:05,2025-04-22 09:24:18,7.97,9.0,฿35,2,45,โอนผ่านแอป,ปกติ,5
919167,52657,สันกำแพง,ตามสั่ง,04/04/2025 17:53,2025-04-04 18:20:18,15.58,8.2,฿108,8,59,cash,ปกติ,4
913836,60340,แม่ริม,ตามสั่ง,28 Apr 2025 13:12,2025-04-28 13:36:48,13.6,11.9,฿80,0,57,บัตรเครดิต,ปกติ,5
923700,54773, ช้างคลาน,ข้าวซอย,2025-04-19 19:11:00,2025-04-19 19:26:42,0.74,7.0,฿83,0,17,APP,ฝนตก,5
920074,59642,สันกำแพง,ปิ้งย่าง,2025-05-15 11:56:00,2025-05-15 12:26:54,8.88,10.5,฿301,0,39,เงินสด,ปกติ,4
923989,50885,ช้างคลาน,ตามสั่ง,23/06/2025 19:04,2025-06-23 19:27:12,4.44,6.2,฿57,0,29,,ฝนตก,5
908411,50057,ช้างคลาน ,ข้าวซอย,03/04/2025 11:07,2025-04-03 11:32:30,8.85,6.3,฿35,2,44,โอนผ่านแอป,ปกติ,4
919164,54176,ช้างคลาน,กาแฟ,02/06/2025 17:57,2025-06-02 18:12:30,6.01,9.9,฿35,0,39,โอนผ่านแอป,ปกติ,5
911009,61994,หางดง ,กาแฟ,2025-06-02 12:05:00,2025-06-02 12:28:42,2.76,9.5,฿89,0,23,เงินสด,ปกติ,5
906613,60490,ช้างคลาน,ญี่ปุ่น,2025-05-06 21:21:00,2025-05-06 21:41:24,3.65,18.7,฿473,0,27,โอนผ่านแอป,ปกติ,5
902536,61559,สันกำแพง,ตามสั่ง,2025-05-30 18:14:00,2025-05-30 18:36:24,3.31,15.9,฿127,0,27,เงินสด,ปกติ,5
915319,60608,หางดง,ข้าวซอย,2025-06-28 20:27:00,2025-06-28 20:45:36,1.35,10.5,฿334,57,23,เงินสด,ฝนตก,5
900631,52908,สันทราย,ปิ้งย่าง,22/05/2025 13:33,2025-05-22 13:47:00,2.31,15.7,฿112,14,25,โอนผ่านแอป,ปกติ,5
922953,53482,แม่ริม,ข้าวซอย,08 Apr 2025 09:44,2025-04-08 09:59:18,2.6,13.4,฿40,0,23,บัตรเครดิต,ปกติ,5
920289,56241, นิมมาน,ข้าวซอย,14/04/2025 13:53,2025-04-14 14:09:00,2.23,13.1,฿267,0,18,วอลเล็ต,ปกติ,5
909758,60271,หางดง,ตามสั่ง,25/06/2025 13:39,2025-06-25 13:53:42,4.96,10.8,฿122,29,29,บัตรเครดิต,ปกติ,5
923008,50300,ช้างคลาน,ข้าวซอย,03 May 2025 21:02,2025-05-03 21:16:36,4.21,7.3,฿57,7,29,เงินสด,ปกติ,5
903286,58806,นิมมาน,ญี่ปุ่น,15/06/2025 13:10,2025-06-15 13:25:06,2.52,12.4,฿71,0,21,โอนผ่านแอป,ปกติ,5
918758,54676,หางดง,กาแฟ,27 Jun 2025 21:07,2025-06-27 21:22:42,2.33,12.3,฿96,18,17,โอนผ่านแอป,ปกติ,5
910653,50270,ช้างคลาน,ปิ้งย่าง,17 May 2025 21:30,2025-05-17 21:46:00,1.05,12.9,฿436,25,22,โอนผ่านแอป,ปกติ,5
901076,61964,สันกำแพง,กาแฟ,2025-04-07 19:44:00,2025-04-07 20:08:18,6.87,16.5,฿135,0,37,โอนผ่านแอป,ปกติ,5
906999,52775,สันกำแพง,ญี่ปุ่น,01/04/2025 17:13,2025-04-01 17:30:00,9.1,4.0,฿134,0,39,โอนผ่านแอป,ปกติ,5
915302,58291,ช้างคลาน ,ตามสั่ง,23/06/2025 13:30,2025-06-23 13:46:24,4.6,11.5,฿62,15,25,บัตรเครดิต,ปกติ,5
906078,50432,สันทราย,กาแฟ,10 Jun 2025 08:47,2025-06-10 09:04:12,3.55,16.1,฿48,0,28,บัตรเครดิต,ปกติ,5
920220,58627,ช้างคลาน,ข้าวซอย,2025-06-11 18:32:00,2025-06-11 18:58:00,5.56,15.2,฿44,0,33,บัตรเครดิต,ปกติ,5
921737,60055,นิมมาน,ข้าวซอย,11/05/2025 08:50,2025-05-11 09:01:36,1.57,8.6,฿126,0,20,โอนผ่านแอป,ปกติ,5
901178,50360,ช้างคลาน,ปิ้งย่าง,25/04/2025 20:46,2025-04-25 21:00:36,3.88,12.2,฿82,0,29,โอนผ่านแอป,ปกติ,5
910197,58523,ช้างคลาน,กาแฟ,2025-04-17 11:50:00,2025-04-17 12:16:18,5.51,13.9,฿35,0,34,บัตรเครดิต,ปกติ,4
900871,54284,สันทราย,ตามสั่ง,2025-04-06 19:01:00,2025-04-06 19:16:18,5.06,9.4,฿70,0,35,cash,ปกติ,5
922847,54678,หางดง,ญี่ปุ่น,2025-05-11 11:19:00,2025-05-11 11:42:30,4.89,11.4,฿154,0,30,เงินสด,ปกติ,5
915039,55623,สันทราย,กาแฟ,04/04/2025 19:15,2025-04-04 19:34:12,5.92,11.8,฿91,15,35,โอนผ่านแอป,ปกติ,5
921467,57610,นิมมาน,ญี่ปุ่น,19/05/2025 19:48,2025-05-19 20:12:12,1.82,12.6,฿567,0,23,โอนผ่านแอป,ฝนตก,5
923515,56333,สันทราย,ข้าวซอย,2025-04-21 17:22:00,2025-04-21 17:33:06,1.97,7.6,฿52,9,26,CASH,ปกติ,5
922315,56815,นิมมาน,กาแฟ,22/05/2025 18:26,2025-05-22 18:51:30,8.75,6.4,฿39,6,36,เงินสด,ปกติ,4
907929,57360,สันทราย,กาแฟ,15/05/2025 13:23,2025-05-15 13:41:48,4.74,13.3,฿74,7,30,เงินสด,ปกติ,5
909420,51450,หางดง,ตามสั่ง,04/05/2025 08:55,2025-05-04 09:15:48,6.83,10.6,฿35,0,43,เงินสด,ปกติ,5
907003,61223,แม่ริม,ข้าวซอย,2025-06-14 12:06:00,2025-06-14 12:45:18,19.77,8.8,฿48,0,77,โอนผ่านแอป,ปกติ,3
920913,59199,ช้างคลาน,ข้าวซอย,11/05/2025 11:20,2025-05-11 11:49:06,4.51,16.6,฿94,0,31,CASH,ปกติ,4
914039,53500,นิมมาน,ญี่ปุ่น,02 May 2025 18:41,2025-05-02 19:14:36,6.21,14.0,฿358,0,34,โอนผ่านแอป,ฝนตก,3
923837,52280, หางดง,ข้าวซอย,2025-04-05 09:17:00,2025-04-05 09:31:06,1.59,13.6,฿106,0,26,โอนผ่านแอป,ปกติ,5
920593,55270,ช้างคลาน,ตามสั่ง,25/06/2025 12:31,2025-06-25 12:54:48,3.61,14.1,฿65,0,27,เงินสด,ปกติ,5
909583,53883,ช้างคลาน ,ญี่ปุ่น,18 Jun 2025 12:29,2025-06-18 12:46:42,3.22,4.0,฿140,0,26,โอนผ่านแอป,ปกติ,5
900509,53338,นิมมาน,ข้าวซอย,04 Jun 2025 08:20,2025-06-04 08:34:48,4.99,8.7,฿101,0,37,บัตรเครดิต,ปกติ,5
907777,52801, นิมมาน,กาแฟ,28/06/2025 11:40,2025-06-28 12:11:06,9.85,15.6,฿82,0,54,เงินสด,ปกติ,4
910824,58660,สันทราย,ตามสั่ง,30/06/2025 12:56,2025-06-30 13:15:30,1.91,12.4,฿146,0,15,โอนผ่านแอป,ปกติ,4
912150,52058,สันทราย,กาแฟ,01/04/2025 11:41,2025-04-01 12:03:12,2.9,14.3,฿46,0,-24,APP,ปกติ,4
918307,54391,หางดง,ตามสั่ง,25 Apr 2025 09:00,2025-04-25 09:13:30,2.49,11.5,฿35,5,24,โอนผ่านแอป,ปกติ,5
904411,51245,แม่ริม ,กาแฟ,18/04/2025 19:22,2025-04-18 19:46:18,2.15,13.7,฿57,0,23,เงินสด,ฝนตก,4
923811,53499,หางดง,ปิ้งย่าง,2025-06-28 09:50:00,2025-06-28 10:02:18,1.74,9.8,฿427,44,25,บัตรเครดิต,ปกติ,5
900694,59103,หางดง,ข้าวซอย,22 Jun 2025 17:38,2025-06-22 17:56:24,7.89,7.3,฿73,0,38,โอนผ่านแอป,ปกติ,5
900030,58884,ช้างคลาน,กาแฟ,12/06/2025 12:40,2025-06-12 13:05:18,3.41,20.8,฿46,7,26,โอนผ่านแอป,ปกติ,5
918171,58156,หางดง,กาแฟ,30 Apr 2025 21:07,2025-04-30 21:23:54,2.72,9.2,฿35,4,23,โอนผ่านแอป,ฝนตก,4
917360,52480,สันทราย,ญี่ปุ่น,2025-06-06 19:32:00,2025-06-06 19:41:54,2.4,8.9,฿286,0,20,โอนผ่านแอป,ปกติ,5
907803,50149,ช้างคลาน,ข้าวซอย,09 Apr 2025 12:44,2025-04-09 13:10:48,5.42,13.9,฿43,0,35,APP,ปกติ,4
902057,59669,ช้างคลาน,ญี่ปุ่น,2025-06-04 13:07:00,2025-06-04 13:24:06,4.31,13.4,฿218,46,28,โอนผ่านแอป,ปกติ,5
923757,57714,สันกำแพง ,ข้าวซอย,20/06/2025 09:37,2025-06-20 10:04:00,11.2,16.2,฿35,0,56,บัตรเครดิต,ปกติ,4
918532,54451,ช้างคลาน ,กาแฟ,14 May 2025 18:33,2025-05-14 19:00:36,2.53,8.9,฿53,0,28,เงินสด,ฝนตก,4
922786,60593,หางดง,ตามสั่ง,18/06/2025 19:09,2025-06-18 19:29:30,7.02,10.2,฿154,0,36,,ปกติ,5
919123,52799,ช้างคลาน,ตามสั่ง,06/04/2025 19:58,2025-04-06 20:23:42,7.08,9.1,฿83,0,34,เงินสด,ฝนตก,5
923459,51253,ช้างคลาน,ปิ้งย่าง,2025-06-10 12:42:00,2025-06-10 13:11:18,5.89,14.1,฿198,0,29,เงินสด,ปกติ,4
908942,57011,นิมมาน,ตามสั่ง,2025-04-14 12:20:00,2025-04-14 12:39:18,3.21,7.6,฿63,4,26,บัตรเครดิต,ปกติ,5
907858,53077,สันทราย,ญี่ปุ่น,01/06/2025 11:24,2025-06-01 11:53:12,2.61,12.6,฿127,0,24,เงินสด,ฝนตก,5
911568,53337,ช้างคลาน,ญี่ปุ่น,2025-04-13 11:37:00,2025-04-13 11:57:42,3.81,10.6,฿96,19,27,โอนผ่านแอป,ปกติ,5
905748,56357, แม่ริม,ข้าวซอย,01/05/2025 11:22,2025-05-01 11:57:36,14.74,11.8,฿72,0,58,โอนผ่านแอป,ปกติ,3
907304,60364,หางดง,ตามสั่ง,17 Jun 2025 10:00,2025-06-17 10:17:24,5.8,12.7,฿132,0,37,โอนผ่านแอป,ปกติ,4
914737,57060,สันกำแพง,ข้าวซอย,2025-06-28 10:50:00,2025-06-28 11:07:06,2.65,15.8,฿86,13,23,โอนผ่านแอป,ปกติ,5
915589,56331,นิมมาน,ของหวาน,20 Apr 2025 19:44,2025-04-20 20:02:54,6.56,9.4,฿88,0,38,บัตรเครดิต,ปกติ,4
903872,61987,แม่ริม,ของหวาน,26 Apr 2025 12:36,2025-04-26 13:17:48,19.57,16.8,฿35,3,83,วอลเล็ต,ปกติ,2
915366,56012,หางดง,กาแฟ,01 May 2025 17:50,2025-05-01 18:13:06,2.7,17.2,฿35,0,24,โอนผ่านแอป,ฝนตก,5
914919,60021,หางดง,กาแฟ,08 Apr 2025 17:52,2025-04-08 18:15:48,3.54,14.9,฿81,0,31,บัตรเครดิต,ฝนตก,5
900487,50301,ช้างคลาน,กาแฟ,25 Apr 2025 10:55,2025-04-25 11:12:00,3.75,17.5,฿78,13,23,โอนผ่านแอป,ปกติ,5
922838,50013,หางดง,ข้าวซอย,08 Jun 2025 11:09,2025-06-08 11:44:00,7.66,10.5,฿39,2,37,เงินสด,ฝนตก,3
902114,58555, นิมมาน,กาแฟ,2025-06-21 13:46:00,2025-06-21 14:06:06,3.79,15.7,฿156,0,28,บัตรเครดิต,ปกติ,5
905239,50380,หางดง,กาแฟ,2025-04-19 17:22:00,2025-04-19 17:37:42,4.66,11.7,฿113,21,30,โอนผ่านแอป,ปกติ,5
900006,53505,หางดง ,ญี่ปุ่น,22 Jun 2025 13:01,2025-06-22 13:19:48,2.69,14.9,฿35,0,23,CASH,ปกติ,5
900018,50442,แม่ริม,ข้าวซอย,2025-06-07 20:31:00,2025-06-07 20:54:42,6.29,16.0,฿167,0,37,บัตรเครดิต,ปกติ,4
919380,55890,แม่ริม,ตามสั่ง,2025-04-29 19:04:00,2025-04-29 19:33:48,15.93,8.4,฿62,0,68,บัตรเครดิต,ปกติ,4
907847,57109,แม่ริม,ตามสั่ง,09/04/2025 18:39,2025-04-09 19:02:06,1.57,20.8,฿96,5,20,โอนผ่านแอป,ปกติ,5
920365,60112,สันกำแพง ,ญี่ปุ่น,04 Apr 2025 10:47,2025-04-04 11:06:00,4.74,11.6,฿66,15,32,บัตรเครดิต,ปกติ,5
918235,51488,ช้างคลาน,ข้าวซอย,12 Apr 2025 11:24,2025-04-12 11:52:00,6.08,14.2,฿105,0,37,CASH,ปกติ,4
